Name,County1,County2,County3,State,PM_Salary,Latitude,Longitude
Lakeville,Sonoma,,,CA,69,38.21,-122.55
Ocean View,Sonoma,,,CA,12,38.40,-123.09
Petaluma,Sonoma,,,CA,1500,38.23,-122.64
Santa Rosa,Sonoma,,,CA,570,38.42,-122.66
Sea View,Sonoma,,,CA,99,38.55,-123.23
Sebastopol,Sonoma,Napa,,CA,82,38.40,-122.82
Sonoma,Sonoma,,,CA,260,38.29,-122.46
Stony Point,Sonoma,,,CA,34,38.34,-122.74
Two Rocks,Sonoma,,,CA,12,38.27,-122.79
Windsor,Sonoma,,,CA,140,38.54,-122.82
Ceres,Stanislaus,,,CA,12,37.59,-120.95
Crow's Landing,Stanislaus,,,CA,12,37.39,-121.07
Eugene,Stanislaus,,,CA,12,37.89,-120.85
Horr,Stanislaus,,,CA,12,37.64,-120.63
Knight's Ferry,Stanislaus,San Joaquin,,CA,200,37.82,-120.67
La Grange,Stanislaus,,,CA,34,37.66,-120.46
Modesto,Stanislaus,,,CA,200,37.64,-121.00
Newman,Stanislaus,,,CA,12,37.31,-121.02
Turlock,Stanislaus,,,CA,12,37.49,-120.85
Meridian,Sutter,,,CA,20,39.14,-121.91
Nicolaus,Sutter,,,CA,36,38.90,-121.58
Pleasant Grove,Sutter,,,CA,12,38.82,-121.50
Sutter,Sutter,,,CA,12,39.16,-121.75
Sutter Station,Sutter,,,CA,12,39.16,-121.75
West Butte,Sutter,,,CA,20,39.19,-121.89
Yuba City,Sutter,,,CA,280,39.14,-121.62
Battle Creek,Tehama,,,CA,12,40.36,-122.18
Lassen,Tehama,,,CA,12,40.27,-121.45
Moon's Ranch,Tehama,Colusa,,CA,5,40.32,-122.88
Red Bluff,Tehama,Shasta,,CA,430,40.18,-122.24
Tehama,Tehama,Colusa,,CA,120,40.03,-122.12
Vina,Tehama,Butte,,CA,12,39.93,-122.05
Big Bar,Trinity,,,CA,13,40.74,-123.27
Burnt Ranch,Trinity,,,CA,12,40.83,-123.49
Douglas City,Trinity,,,CA,39,40.65,-122.94
Junction City,Trinity,,,CA,13,40.73,-123.06
Lewiston,Trinity,,,CA,37,40.71,-122.81
Trinity,Trinity,,,CA,19,40.74,-122.95
Trinity Center,Trinity,,,CA,17,40.98,-122.70
Weaverville,Trinity,,,CA,390,40.73,-122.94
Farmersville,Tulare,,,CA,24,36.30,-119.21
Plano,Tulare,,,CA,12,36.04,-119.01
Portersville,Tulare,,,CA,220,36.07,-119.02
Visalia,Tulare,,,CA,690,36.33,-119.29
Woodville,Tulare,,,CA,12,36.09,-119.20
Big Oak Flat,Tuolumne,,,CA,96,37.82,-120.26
Chinese Camp,Tuolumne,,,CA,210,37.87,-120.43
Columbia,Tuolumne,,,CA,540,38.04,-120.40
Graysonville,Stanislaus,Tuolumne,,CA,12,37.56,-121.18
Groveland,Tuolumne,,,CA,20,37.84,-120.23
Jamestown,Tuolumne,,,CA,170,37.96,-120.42
Montezuma,Tuolumne,,,CA,20,38.17,-119.62
Shaw's Flat,Tuolumne,,,CA,83,38.01,-120.41
